Seqno,STOCK_ID,GS_ACCNO,NAME,Source_Accno,CROPYEAR,AWPR_REPRO,CUDI_CODE_REPRO,CULT_CODE_REPRO,CUNO_CODE_REPRO,LLT_CODE,PLT_CODE_POST,SDHT_CODE,APANTH_REPRO,APSH,APCO_REV_POST,APCO_REV_REPRO,AWCO_LREV,AWCO_REV,AWDIST,BLANTHPR_VEG,BLANTHDI_VEG,BLPUB_VEG,BLSCO_ANTH_VEG,BLSCO_REV_VEG,CCO_REV_VEG,CUAN_REPRO,ENDO,FLA_EREPRO,FLA_REPRO,INANTH,LIGCO_REV_VEG,LIGSH,LPCO_REV_POST,LPPUB,LSEN,NOANTH,PEX_REPRO,PTH,SCCO_REV,SECOND_BR_REPRO,SLCO_REV,SPKF,SLLT_CODE,AUCO_REV_VEG,BLCO_REV_VEG,CUST_REPRO,INCO_REV_REPRO,LA,NOCO_REV,PA_REPRO,PSH,PTY
1,16,121316,CIWINI SML::IRGC 50642-1,50642,,0,1,3,2,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,1,,011,3,020,4,9,,5,3,010,1,020,4,3,061,063,1,041,1,,2,1,5
2,17,117426,ARC 13829::IRGC 42469-1,42469,,1,2,7,2,4,3,2,,,,080,,080,,,,3,,084,061,3,1,,3,,011,3,080,4,9,,9,3,010,1,080,5,3,061,085,5,060,2,,2,3,5
3,18,117466,DOM ZARD::IRGC 12881-1,12881,,9,1,5,2,3,3,2,,,,052,,040,,,,3,,060,061,3,1,,5,,011,3,053,3,9,,9,1,010,1,020,4,3,061,060,5,041,5,,2,1,7
4,19,117425,ARC 10497::IRGC 12485-1,12485,,1,2,6,2,4,3,2,,,,080,,080,,,,3,,084,060,1,1,,5,,011,,080,,9,,9,2,010,,080,4,3,061,060,9,060,,,,,1
5,20,121499,SHANKA::IRGC 67848-1,67848,,0,1,5,2,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,3,,011,3,020,4,7,,7,2,010,1,020,5,3,061,060,3,041,5,,2,1,3
6,21,117498,JC 157::IRGC 9074-1,9074,,0,2,5,2,4,4,1,,,,080,,000,,,,3,,060,060,1,1,,1,,011,,020,,1,,9,2,010,,080,4,3,061,060,1,080,,,,,9
7,22,121233,JAGLI BORO::IRGC 27516-2,27516,,5,1,4,3,2,2,2,,,,010,,020,,,,3,,060,060,7,1,,3,,011,,054,,9,,9,3,070,,,4,3,061,060,7,060,,,,,1
8,23,120894,BHADOIA 303::IRGC 6588-1,6588,,5,2,5,3,3,3,1,,,,080,,020,,,,3,,084,060,1,1,,5,,011,,020,,1,,9,2,070,,,4,5,061,060,9,060,,,,,9
9,24,121128,SUFAID 246::IRGC 28303-1,28303,,1,1,4,2,3,4,2,,,,070,,070,,,,3,,060,060,7,1,,5,,011,,042,,9,,9,3,010,,020,3,3,061,060,9,060,,,,,5
10,25,121022,KHARSU 80::IRGC 28016-1,28016,,5,1,2,2,2,2,2,,,,070,,020,,,,3,,080,060,7,1,,1,,011,,100,,9,,3,3,070,,,4,3,061,085,7,060,,,,,1
11,26,121618,JABOR SAIL::IRGC 66831-1,66831,,0,1,4,2,3,3,2,,,,020,,000,,,,2,,060,061,3,1,,7,,011,3,020,4,3,,3,3,070,1,020,4,3,061,060,7,041,5,,2,1,3
12,27,121188,ARC 11959::IRGC 21780-1,21780,,0,2,6,2,3,4,2,,,,010,,000,,,,3,,060,060,3,1,,5,,011,,053,,9,,9,3,070,,020,4,3,061,060,7,060,,,,,5
13,28,120969,HOLOI BASH (SOLOI BASH)::IRGC 64778-1,64778,,1,2,4,2,2,3,2,,,,020,,020,,,,3,,060,061,3,1,,5,,011,3,020,4,5,,5,3,070,1,020,4,3,061,060,3,060,4,,2,1,5
14,29,120887,BATHURI::IRGC 25838-1,25838,,1,1,4,3,4,2,1,,,,010,,020,,,,3,,060,060,7,1,,5,,011,,054,,9,,3,3,070,,020,3,3,061,060,7,060,,,,,5
15,30,121185,ARC 10100::IRGC 20709-1,20709,,0,2,5,1,3,3,2,,,,080,,000,,,,3,,084,060,7,1,,3,,011,,042,,9,,3,2,010,,080,4,3,061,060,7,041,,,,,5
16,31,121134,TAK SUFAID::IRGC 73127-1,73127,,9,2,5,2,3,3,2,,,,071,,070,,,,3,,060,061,3,1,,5,,011,3,020,5,7,,5,1,070,1,070,4,3,061,060,3,060,4,,2,1,5
17,32,121605,CHANDARHAT::IRGC 25845-1,25845,,1,2,5,2,4,3,1,,,,080,,020,,,,3,,060,060,3,1,,5,,011,,042,,9,,9,2,070,,020,4,3,061,063,9,080,,,,,5
18,33,120915,CHUNGUR BALI::IRGC 25855-1,25855,,0,1,4,3,3,3,1,,,,010,,000,,,,3,,060,060,7,1,,3,,011,,053,,9,,9,3,070,,020,4,3,061,060,7,060,,,,,5
19,34,120927,DANGAR::IRGC 76296-1,76296,1994WS,1,1,4,3,3,3,2,,,020,020,,020,,,,3,,060,061,3,1,,3,,011,3,042,4,5,,7,3,010,1,020,4,3,061,060,3,041,1,060,2,5,5
20,35,121005,KALIA::IRGC 34699-1,34699,,0,1,5,2,3,2,2,,,,070,,000,,,,3,,060,060,1,1,,5,,011,,100,,9,,9,3,070,,,4,3,061,061,7,060,,,,,5
21,36,121473,PODI HEENATI::IRGC 36345-1,36345,,1,1,3,2,3,3,2,,,,070,,070,,,,3,,060,060,3,1,,3,,011,,054,,9,,3,3,070,,,4,3,061,060,7,060,,,,,5
22,37,121038,LENJA MURALI::IRGC 66815-1,66815,,1,1,3,2,3,3,2,,,,020,,020,,,,3,,060,061,5,1,,5,,011,3,020,4,3,,7,3,070,1,020,4,3,061,060,5,041,7,,2,1,9
23,38,120968,HODARAWALA::IRGC 67631-1,67631,,9,1,5,2,3,3,2,,,,020,,020,,,,3,,060,061,3,1,,3,,011,3,100,2,5,,7,2,070,1,020,4,3,061,060,5,041,6,,2,1,4
