Sample_ID,Sample_Plate,Sample_Name,Sample_Well,SentrixBarcode_A,SentrixPosition_A,Replicate,Parent1,Parent2
CItr1517,1,6X,A01,6123491020,R01C02,,,
CItr2804,1,6X,B01,6123491020,R01C01,,,
CItr3008,1,6X,C01,6123491018,R01C02,,,
CItr3328,1,6X,D01,6123491018,R01C01,,,
CItr4175,1,6X,E01,6123491017,R01C02,,,
CItr4203,1,6X,F01,6123491017,R01C01,,,
CItr4936,1,6X,G01,6123491011,R01C02,,,
CItr6678,1,6X,B02,6123491020,R03C01,,,
CItr7605,1,6X,E02,6123491017,R03C02,,,
CItr7611,1,6X,F02,6123491017,R03C01,,,
CItr7635,1,6X,G02,6123491011,R03C02,,,
CItr7641,1,6X,H02,6123491011,R03C01,,,
PI116232,1,6X,A03,6123491020,R05C02,,,
PI117526,1,6X,B03,6123491020,R05C01,,,
PI118896,1,6X,C03,6123491018,R05C02,,,
PI124353,1,6X,D03,6123491018,R05C01,,,
PI125342,1,6X,E03,6123491017,R05C02,,,
PI125364,1,6X,F03,6123491017,R05C01,,,
PI131267,1,6X,G03,6123491011,R05C02,,,
PI142414,1,6X,H03,6123491011,R05C01,,,
CItr8118,1,6X,A04,6123491020,R07C02,,,
CItr8160,1,6X,B04,6123491020,R07C01,,,
CItr8359,1,6X,D04,6123491018,R07C01,,,
CItr8360,1,6X,E04,6123491017,R07C02,,,
CItr8409,1,6X,F04,6123491017,R07C01,,,
CItr8429,1,6X,G04,6123491011,R07C02,,,
CItr8432,1,6X,H04,6123491011,R07C01,,,
CItr8440,1,6X,A05,6123491020,R09C02,,,
CItr8442,1,6X,B05,6123491020,R09C01,,,
CItr8445,1,6X,C05,6123491018,R09C02,,,
CItr8625,1,6X,D05,6123491018,R09C01,,,
CItr9348,1,6X,F05,6123491017,R09C01,,,
CItr11223,1,6X,G05,6123491011,R09C02,,,
CItr11254,1,6X,H05,6123491011,R09C01,,,
CItr11262,1,6X,A06,6123491020,R11C02,,,
CItr11456,1,6X,C06,6123491018,R11C02,,,
CItr11474,1,6X,D06,6123491018,R11C01,,,
CItr11478,1,6X,F06,6123491017,R11C01,,,
CItr11614,1,6X,H06,6123491011,R11C01,,,
CItr11887,1,6X,A07,6123491020,R02C02,,,
CItr12156,1,6X,C07,6123491018,R02C02,,,
CItr12170,1,6X,D07,6123491018,R02C01,,,
CItr12171,1,6X,E07,6123491017,R02C02,,,
CItr12302,1,6X,F07,6123491017,R02C01,,,
CItr12345,1,6X,G07,6123491011,R02C02,,,
CItr12691,1,6X,H07,6123491011,R02C01,,,
CItr12782,1,6X,A08,6123491020,R04C02,,,
CItr12811,1,6X,B08,6123491020,R04C01,,,
CItr12814,1,6X,C08,6123491018,R04C02,,,
CItr12822,1,6X,E08,6123491017,R04C02,,,
